target,imp
Lag3,333.43505633401975
CD4,1941.55213301499
CD16,735.3919891076968
OX40,83.69093365278633
PD1,285.7907384568518
CD31,52.314753153508846
PD.L1,420.3989174511332
EGFR,424.49475088306315
Ki67,220.37030286333888
CD209,13.944426557861215
CD11c,274.346879072825
CD138,21.43584438058404
CD68,305.66915458194546
CSF.1R,517.7430747417252
CD8,1216.5298137111718
CD3,1300.4179254814196
IDO,46.46975301448393
Keratin17,92.6011478093802
CD63,128.80998688097762
CD45RO,1178.1097438693923
CD20,4.319999631259495
p53,40.501054283121476
Beta.catenin,691.7495161893929
HLA.DR,639.0246840241898
CD11b,82.86859414208828
CD45,863.8527075971097
H3K9ac,3488.824097640457
Pan.Keratin,771.6787680472335
H3K27me3,1310.5252546541876
phospho.S6,860.5724146560856
MPO,127.2006546758116
Keratin6,666.0852040810347
HLA_Class_1,598.6489680592931
