target,imp
B7H3,123.69779309620108
FoxP3,125.09328443088205
Lag3,118.94115391298251
CD4,200.0978136449875
CD16,212.8468055866985
CD56,204.5897976493982
PD1,586.4371794217951
CD31,69.75123181628477
PD.L1,25.044396908880145
EGFR,602.2988265314527
Ki67,74.14551302997565
CD209,114.57394644973309
CD11c,66.34635586488918
CD138,189.04994033825758
CD163,225.83719100977132
CD68,201.19495458193705
CSF.1R,151.40768041402347
CD8,783.4253516282631
CD3,28.096775025361058
IDO,139.40421805223636
Keratin17,685.5587045404922
CD63,354.37670187097154
CD45RO,101.19297748284167
CD20,169.5337936867719
p53,153.4799973375196
Beta.catenin,368.5771043901144
HLA.DR,657.228264589534
CD11b,57.80298733040918
CD45,348.5724401650989
H3K9ac,13.459221036318839
Pan.Keratin,225.78468829967017
H3K27me3,92.00360695628727
phospho.S6,42.6558911354861
MPO,46.99853074338363
Keratin6,480.6678982224962
HLA_Class_1,227.15837089228432
