target,imp
FoxP3,61.57433611233493
Lag3,8.389319375035509
CD4,37.79662097772336
CD16,78.7855038624861
CD56,0.6007880693135621
OX40,0.8025436380667386
PD1,14.390388754319652
CD31,15.402684983600597
PD.L1,27.02083000988445
EGFR,9.384885654525178
Ki67,31.34465024885854
CD11c,48.25507144320156
CD138,4.119192441848054
CD68,49.593170120131326
CSF.1R,40.203940469098406
CD8,38.72867348776737
CD3,120.59206795132873
IDO,24.031326435013483
Keratin17,2.9200894573331238
CD63,18.417304268247648
CD45RO,71.97051748834407
CD20,21.593889066944733
p53,24.87408538598992
Beta.catenin,48.698616326247866
HLA.DR,49.01112531268551
CD11b,22.159359072537764
CD45,45.392607408673356
Pan.Keratin,31.74667825457793
H3K27me3,578.9263394140838
phospho.S6,272.5457155565629
MPO,15.999278616051201
Keratin6,44.514822480628794
HLA_Class_1,66.12157270597704
