target,imp
FoxP3,1.283424639058437
Lag3,1.938346545447651
CD4,7.136573250265825
CD16,5.647863565496884
CD56,0.12502405080296491
OX40,0.32008894458541276
PD1,2.3735473066027115
CD31,1.7743046272242196
PD.L1,9.809697967774273
EGFR,7.574148565202917
Ki67,2.631967457809027
CD11c,4.978417098426433
CD138,0.9591083739127859
CD68,6.8907250944970135
CSF.1R,6.81321525798462
CD8,6.490483766861895
CD3,5.903546605245442
IDO,4.24762864261021
Keratin17,1.9208391054363496
CD63,5.680620062124849
CD45RO,6.322146139422231
CD20,2.2665997252703085
p53,11.33708076132589
Beta.catenin,16.086476095855346
HLA.DR,6.982170787654923
CD11b,4.758507562333773
CD45,6.542527722961147
H3K9ac,6.826505237649582
Pan.Keratin,38.71238761236632
H3K27me3,6.810100607919497
phospho.S6,8.61925266124966
MPO,3.8340893998904364
HLA_Class_1,12.46564280067608
