target,imp
B7H3,12.811650415133133
FoxP3,16.059258888337116
Lag3,17.41060342088623
CD4,14.530252699576714
CD16,15.398904999447588
CD56,15.0556247742545
OX40,15.489833233665513
PD1,17.178658410886477
CD31,16.910005189710624
PD.L1,28.192391763000657
EGFR,16.365170082345905
Ki67,20.515690832394345
CD209,13.981097223459626
CD11c,13.334891274011579
CD138,12.351969995432116
CD163,11.670910508869214
CD68,14.798715491113692
CSF.1R,13.526693055072478
CD8,13.910735109002589
CD3,14.042050855353402
IDO,16.92805664718778
Keratin17,16.119437149868375
CD63,13.01896414942257
CD45RO,12.313697432708063
CD20,13.965123065269943
p53,21.335323866008526
Beta.catenin,24.491212851431783
HLA.DR,17.384774851929187
CD11b,14.625272534495027
CD45,13.873268996576304
H3K9ac,27.40161733887663
H3K27me3,21.829907049636578
phospho.S6,18.655173616212632
MPO,13.05890792654386
Keratin6,27.746889700167582
HLA_Class_1,22.364844274067092
