target,imp
B7H3,171.815981296742
FoxP3,173.37564123569246
Lag3,185.91789242485112
CD4,172.83144409800704
CD16,273.38867905752795
CD56,292.7036443924281
OX40,237.8766717986795
CD31,230.2545337040769
PD.L1,368.2542223641781
EGFR,303.8438205539935
Ki67,286.11855978350485
CD209,189.18683493162564
CD11c,191.57247390304047
CD138,245.7897212379102
CD163,208.87312118385972
CD68,250.8749650500309
CSF.1R,224.62136489768858
CD8,306.8559327889102
CD3,204.31028260488674
IDO,309.40491388562816
Keratin17,201.6812565529764
CD63,184.89936906595187
CD45RO,230.60691249055907
CD20,185.12894287859748
p53,286.36552142541046
Beta.catenin,312.54477278723357
HLA.DR,202.9011087241814
CD11b,188.58741520312992
CD45,167.89428882811677
H3K9ac,287.6031918266495
Pan.Keratin,298.8146114948585
H3K27me3,289.7101746994323
phospho.S6,271.9638191630567
MPO,299.9633964435797
Keratin6,319.11785834248263
HLA_Class_1,337.5233662310261
