target,imp
B7H3,5.125576040631026
FoxP3,4.178345978625876
Lag3,6.630499752088975
CD4,4.4808954491333735
CD16,4.98341588149064
CD56,3.601545899155078
OX40,2.9474394610509993
PD1,6.307491766695501
CD31,3.7667543665338754
PD.L1,10.794798129383175
EGFR,5.385323966332731
CD209,5.92624613224695
CD11c,3.928549126111291
CD138,4.5419198768525515
CD163,2.9755039611146317
CD68,4.79304535693301
CSF.1R,4.178526825153309
CD8,5.172052497625376
CD3,3.3713897036401574
IDO,3.5321041406731353
Keratin17,3.582068668379924
CD63,3.1885322997402237
CD45RO,5.721699195299018
CD20,5.550700506378856
p53,5.791103477057627
Beta.catenin,8.276948274593924
HLA.DR,5.426295619179737
CD11b,4.606472152406039
CD45,3.00467071636373
H3K9ac,6.694655119181817
Pan.Keratin,5.113777240960157
H3K27me3,8.64701254436037
phospho.S6,14.54133505867058
MPO,4.153601536994674
Keratin6,3.49668297716868
HLA_Class_1,5.444797910774319
