target,imp
B7H3,66.3195344479812
FoxP3,84.66020568131708
Lag3,81.09099388104795
CD4,96.46303610719657
CD16,85.63268035275163
CD56,107.97614298937795
OX40,78.3854959211824
PD1,91.60577038892434
CD31,126.19658487406632
PD.L1,75.3291080677209
EGFR,108.77690670591468
Ki67,124.67454572569345
CD209,99.4327843033494
CD11c,103.0736637994267
CD138,76.25301162072302
CD163,106.78040785720384
CD68,96.83473752035862
CSF.1R,70.85149225976792
CD8,79.94206387138296
CD3,72.18803761416517
Keratin17,135.1431484469411
CD63,122.81774876786271
CD45RO,97.91821285160569
CD20,85.44896260605654
p53,93.8003774997688
Beta.catenin,70.31056447341092
HLA.DR,113.64341606578301
CD11b,100.57438545581687
CD45,92.38544171294681
H3K9ac,87.29497539083954
Pan.Keratin,86.92262220976883
H3K27me3,91.67143580688047
phospho.S6,88.64186723647306
MPO,133.0776049247522
Keratin6,127.07678346906208
HLA_Class_1,90.34551341236207
