target,imp
B7H3,15.282457257875787
FoxP3,22.31656095146774
Lag3,19.491696585428247
CD4,22.726660598980107
CD16,43.63306071785632
CD56,26.964200885877226
OX40,17.133228984641693
PD1,29.82987099476067
CD31,43.794842379666676
EGFR,54.417717447912764
Ki67,41.71766919626607
CD209,44.88875838079908
CD11c,23.840852868388787
CD138,16.325459696241683
CD163,24.515905472446853
CD68,37.25210188102352
CSF.1R,29.591497369918642
CD8,35.64373821474775
CD3,26.990250704483145
IDO,24.381067352932956
Keratin17,16.034753311280912
CD63,16.612435948377982
CD45RO,31.727608844211318
CD20,17.140918692726725
p53,25.51642848271536
Beta.catenin,55.70254986933598
HLA.DR,19.30318841954896
CD11b,18.903622143682295
CD45,32.00506532754743
H3K9ac,33.50460994748517
Pan.Keratin,38.80756111657577
H3K27me3,27.84866449724338
phospho.S6,28.598807075329177
MPO,16.025577857304743
Keratin6,42.103555074011666
HLA_Class_1,34.71793441292552
