target,imp
B7H3,1.353842193374481
FoxP3,0.7657649518988545
Lag3,0.4569038980418506
CD4,2.367796436282862
CD56,2.3787231990265933
OX40,1.0936441559039087
PD1,3.4762660360961464
CD31,2.9028622287364425
PD.L1,0.667508985249314
EGFR,0.9999895665284265
Ki67,2.9860309824811098
CD209,1.3422051456484787
CD11c,1.075344478110288
CD138,6.177677049825207
CD163,0.7566332143008898
CD68,1.1632145490843628
CSF.1R,2.065110204692656
CD8,1.9825086065597353
CD3,2.2236313727436867
IDO,1.7382090590769321
Keratin17,1.6935407066996055
CD63,2.148766764179645
CD45RO,3.0088550548024227
CD20,1.2134731270548484
p53,1.6000646286170634
Beta.catenin,2.1394774889647517
HLA.DR,2.2751433698832066
CD11b,1.0872686946678645
CD45,1.8183893787384668
H3K9ac,5.005578751297387
Pan.Keratin,3.082492374708396
H3K27me3,4.449535936792863
phospho.S6,11.576789487096661
MPO,1.8684033015560357
Keratin6,5.636416243653238
HLA_Class_1,1.815538230873904
