target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
CD56 1.56469375320778 0.0969767676943914 1.5233663413425 0.113135830777195 0.464712291555867 0.415144605357869
CD4 0.420428383581528 0.53990435403828 0.42113633384856 0.539243389438788 0.506496898132284 0.502858926020081
Ki67 0.274999486183195 0.057463120103099 0.272579787233944 0.0880825009911635 0.491583538546364 0.273262696651421
CD31 1.27751715070742 0.0630876228858451 1.26677093091444 0.0700449109863585 0.47972243737039 0.419522832738208
PD1 0.664369725464771 0.108617474422786 0.664672264903028 0.108556513986833 0.500838260078721 0.500371585468353
CD16 0.791416607094595 0.507466520732742 0.780066677038776 0.521851782981056 0.430204877277207 0.3681412696952
CSF.1R 0.342659498033549 0.180140749811637 0.335877735352956 0.21644840974068 0.440031471550159 0.322376029695175
CD138 1.6911725609254 0.0403514343652587 1.43538845147293 0.301719243037463 0.00351074240163456 1.1811256901536e-05
EGFR 0.157316226416003 0.0119111064411097 0.157862388118096 0.0160750031236101 0.503516125190522 0.366418028793108
CD20 0.187618570487113 0.0199080871808625 0.187892080760735 0.0281487267517519 0.501399926346821 0.312773407028049
CD11c 0.654725011741571 0.450255901971822 0.623574153118558 0.502911089930122 0.286286764908597 0.243289982513296
CD3 0.311133680550126 0.753849834166536 0.310907402172032 0.754387597888654 0.496046236786348 0.491150224168678
CD45RO 0.440745299438542 0.684569776708648 0.441401710299925 0.68361627518929 0.506564950373245 0.51316943418236
Pan.Keratin 0.106609968810646 0.293174890864689 0.106742607663649 0.291863833266946 0.502147509368738 0.504926693313988
CD8 0.669796611123119 0.496495281213367 0.669211839112221 0.497104273185562 0.496615073400169 0.497883551855494
HLA.DR 0.619355644762619 0.61058174433824 0.57566325769008 0.664422743298035 0.0348572196842618 0.0397624934777525
CD68 1.28077319815616 0.494027956074321 1.26839318283395 0.505252710681274 0.421592261257367 0.411327886547513
CD45 0.272313347230148 0.776459288902894 0.269608458420826 0.780242914507003 0.408614038290724 0.425359320621542
CD63 0.498322793680605 0.163426365019142 0.495665226560152 0.174816097317571 0.4884748235257 0.419627429507811
Beta.catenin 0.307069966431361 0.205250594954566 0.305061998659958 0.21843876551157 0.477964984103349 0.394147658448435
Keratin6 0.34264941737646 0.320082097363677 0.343168665645424 0.318209649011213 0.50509462708226 0.508295449570616
phospho.S6 0.594650859456704 0.411332510657351 0.583693852626907 0.433546799276389 0.354293262248542 0.32498338668331
CD11b 0.665174494302607 0.553635138216541 0.658015582734982 0.557702649085085 0.464698922986102 0.482656011823231
H3K27me3 0.434712013114637 0.672773714595456 0.435143534395112 0.672404460251332 0.506237911373208 0.504240182758778
MPO 0.458337354910335 0.00329171953638994 0.458173628727666 0.0202731632153277 0.499510253561967 0.104507582965079
H3K9ac 0.408255673035265 0.638973572132308 0.406034868090751 0.643101251660787 0.447665605635747 0.427085846262067
HLA_Class_1 0.339418293503538 0.644897627951051 0.285487006803055 0.748234921003042 0.00450219708461069 0.00659625557397113
