target,imp
B7H3,2.049563832484221
FoxP3,1.7588024451279367
Lag3,1.6825127862833016
CD4,2.060378021930952
CD16,3.6852681123342483
CD56,2.429269295942145
OX40,2.6331283812860242
PD1,2.8589160079533196
CD31,2.9325384208731733
PD.L1,2.959924264888704
EGFR,3.359000033732767
Ki67,4.566039715477685
CD209,2.102801734518511
CD11c,2.9326956564287174
CD138,3.507971121688775
CD163,2.4677044247684723
CD68,2.762861314327221
CSF.1R,3.5469081570948346
CD8,1.8110663494131896
CD3,2.0463401067014093
IDO,2.7876088086229682
Keratin17,1.8121919428698723
CD63,4.426115103668084
CD45RO,2.9080134557648747
CD20,1.8635504118966524
p53,2.724086958662815
HLA.DR,2.1833613173107254
CD11b,1.4648023399725958
CD45,2.639552191283739
H3K9ac,3.3730496746427274
Pan.Keratin,2.511192627579282
H3K27me3,3.3943281922887643
phospho.S6,3.4148763001702935
MPO,2.4578414616352204
Keratin6,2.759714351671214
HLA_Class_1,6.671662331286682
