target,imp
B7H3,29.61965116649802
Lag3,29.688053194523878
CD4,106.75691843802323
CD16,38.79337592009296
CD56,106.73539493576395
OX40,35.86257497114875
PD1,33.46188974913904
CD31,47.2009879158728
PD.L1,41.26165060270214
EGFR,86.5576906096796
Ki67,43.61947464670544
CD209,47.74245939169373
CD11c,34.359267283033134
CD138,26.781910398098127
CD163,27.261452255735406
CD68,28.823293586592193
CSF.1R,30.30854363362636
CD8,28.095427432767977
CD3,58.215095773299275
IDO,48.9416075366447
Keratin17,43.89114079531406
CD63,35.60356003858887
CD45RO,37.648262945543436
CD20,52.76413789885653
p53,75.8942948557565
Beta.catenin,79.37277622436227
HLA.DR,36.79377828696252
CD11b,52.72706342516839
CD45,27.28483211554525
H3K9ac,67.04996165373348
Pan.Keratin,55.769108903702815
H3K27me3,39.93867639578703
phospho.S6,28.81144858125397
MPO,38.84697592731473
Keratin6,47.20888732951308
HLA_Class_1,30.86027970364669
