target,imp
B7H3,11.96365810778358
FoxP3,11.258098199784548
Lag3,12.214206053927786
CD4,14.059041668851041
CD16,40.05512025944483
CD56,11.702727433258723
OX40,16.056797506265816
PD1,27.30670032281641
CD31,18.859533046968828
PD.L1,46.47952562939024
EGFR,27.44017784408446
Ki67,42.31309478889414
CD209,10.170034846200574
CD11c,24.13279481314711
CD138,35.51916074776765
CD163,20.211159765637333
CD68,25.285128036464258
CSF.1R,11.832618053051323
CD8,31.206155978915675
CD3,17.369246860994302
IDO,18.560343338195842
Keratin17,41.207093949541175
CD63,27.325852618519164
CD45RO,21.072917636395946
CD20,11.098016423025571
p53,28.67787728171204
Beta.catenin,34.28538091723953
HLA.DR,24.052952150529325
CD11b,20.216589531026113
CD45,20.21579490950865
Pan.Keratin,39.998979220339585
H3K27me3,41.24423434664039
phospho.S6,39.54082407280041
MPO,19.16614666205312
Keratin6,48.53654831993451
HLA_Class_1,36.735524735929836
