target,imp
FoxP3,12.350930438587573
CD4,12.789239446951832
CD16,5.6823381010996
CD56,0
OX40,49.98668153830061
PD1,5.79281192644385
CD31,0
PD.L1,10.03691768809851
EGFR,0.06890723726661074
Ki67,0.30382650571854614
CD209,0
CD11c,4.111919711658703
CD138,3.317080962457039
CD68,2.5769275865118897
CSF.1R,0.0029728106469486177
CD8,6.9164358206397765
CD3,9.25918668686338
IDO,2.289272157865664
Keratin17,1.230127730850336e-4
CD63,9.58567189678343
CD45RO,9.777380366501706
CD20,0
p53,0
Beta.catenin,2.4272837124476174
HLA.DR,5.789262568753105
CD11b,3.5232328752354136
CD45,12.303078061242722
H3K9ac,12.484988772969592
Pan.Keratin,4.249728705061505e-4
H3K27me3,11.360019082922427
phospho.S6,9.941709405277166
MPO,8.406660626237627e-5
Keratin6,14.157930808923586
HLA_Class_1,25.741419240180605
