target,imp
B7H3,98.74586934087256
FoxP3,74.53352778656141
Lag3,143.55456077786053
CD4,111.48504285613724
CD16,134.6310122917728
CD56,142.3030825008746
OX40,75.99960167085817
PD1,98.52078215617375
CD31,140.9986046810058
PD.L1,273.3638294758767
EGFR,104.14992917421226
Ki67,181.46061316918846
CD209,81.13733261902404
CD11c,174.67408737673807
CD138,97.93859237981387
CD163,125.74556117188355
CD68,135.7050516817763
CSF.1R,148.03870119179797
CD8,145.56701223775482
CD3,138.30188123068024
IDO,119.70950825111478
Keratin17,220.77010781758523
CD63,109.06191568832614
CD20,95.1177968721915
p53,172.5053846864395
Beta.catenin,138.2616589466156
HLA.DR,256.45502756596994
CD11b,107.78589563526691
CD45,176.65829903490396
H3K9ac,137.4923531903091
Pan.Keratin,125.38937740815412
H3K27me3,146.00571749992864
phospho.S6,134.41610278692298
MPO,98.95062925956185
Keratin6,144.24453553251615
HLA_Class_1,107.09728186282562
