target intercept intra c.para.120 p.intercept p.intra p.c.para.120
Lag3 -0.08251808524387 -0.021313506162166 0.00521788048894117 2.94775495382219e-27 0.749227614760265 0.92822414725375
CD56 -0.042842573983454 0.100984304263856 0.111369078201168 1.44246808133239e-13 0.105928008887645 0.000863683009781141
CD163 0.0157076747005876 0.31342573340118 0.0624517119100242 0.366510881918075 2.62613218689096e-08 0.149676818883989
EGFR -0.155104999972314 0.346840447890145 0.145257063356955 1.48701278760741e-17 8.43773230019697e-12 7.92086696084474e-06
p53 -0.0989978194226084 0.575562294967673 0.0911335555052722 2.2205631687818e-14 1.46899396919757e-51 0.00016602937447452
MPO -0.0808126753355257 0.354323186075178 0.0286616087274185 9.12143656263728e-17 9.04550871896391e-09 0.441486688677215
OX40 0.0020930080565091 0.374725604304523 0.08549487386916 0.830700172317957 1.35321992367305e-10 0.0313179359443663
CD209 0.0168257180171951 0.850063989613119 0.392254166600398 3.19976431762889e-05 2.73752317778117e-116 1.12091549703824e-36
IDO 0.0485453125425957 1.1795333745204 0.0789945682645652 6.14117658564432e-07 3.18286117450498e-194 0.0283122762120452
Ki67 -0.104123584855541 0.387576521842685 0.144590273310045 6.07947608392192e-17 6.38793592563722e-18 1.68720418097486e-05
PD1 -0.0123727264745026 0.870759563301666 0.130533942956506 0.154346709398654 1.77798557639393e-189 9.82327800672515e-07
CD63 0.0331390417154407 0.887893456408091 0.364798360381976 0.000960024654012395 4.08575654311546e-136 5.89840762671847e-36
Keratin6 0.0411374323065398 1.03926715413822 0.040205278206346 0.0656542032930936 4.89009132049779e-170 0.177751754584244
Keratin17 -0.00341485623062192 1.0369619446833 -0.0483403970022546 0.751748876972674 1.17987300742683e-238 0.1490423832535
CD45 -0.124472201674811 1.06283099488087 0.00857466284631114 2.15533612967727e-24 0 0.297137506393891
CD4 -0.109030721303029 1.07215396963628 0.0713136773359609 1.26199979795245e-23 0 7.80929941603077e-11
CD68 0.0520121715870948 1.04184270480063 0.281993976768169 3.82381372066898e-10 0 2.03895081887691e-30
H3K27me3 0.0212091040260259 1.07396908866406 -0.0264800321104416 4.32693216608477e-08 0 0.000107908174784195
CD8 -0.0845903060055975 1.1407122506491 0.161952661367434 1.63797981581697e-18 0 3.72457867274594e-21
HLA.DR -0.133671594290551 1.03587903028801 0.0348435070652349 2.24356974070691e-20 0 0.000171776494509283
CD11c -0.131132479087653 0.995983029572304 0.351457572665108 1.34132167373286e-22 0 5.49583694604256e-69
CD31 0.0346780143646228 1.13045337572717 0.257410436102397 6.73887359591211e-08 0 7.6343255152712e-22
Beta.catenin 0.239557977932884 0.966817344720132 0.379823700314625 6.16197897752087e-49 0 1.77832922692341e-95
CD16 -0.0930050078133865 0.277355287723033 0.457773174164765 6.08562406875427e-07 4.30307215077411e-10 4.96147140920422e-42
CD45RO -0.195265598902664 1.02689710229779 0.101914885795247 1.03709453515386e-37 0 1.45876968954525e-25
PD.L1 -0.0227637470497731 0.737841245256968 0.187522729453508 0.109054905317299 1.52802927466877e-105 3.18651497723122e-07
HLA_Class_1 -0.0636190202034024 1.02639967230245 0.115786687585578 1.65505921074801e-23 0 1.20642702524485e-22
CD11b -0.0390431558778767 1.08738744550914 -0.00225678823112379 1.6095477951718e-08 0 0.782046847433474
CSF.1R -0.0703982526098631 0.886765074775572 0.252249866305729 5.33079605143997e-15 0 2.22191008400954e-83
H3K9ac 0.0676362693801607 1.00968504485157 0.0780977471668434 3.31335357322891e-33 0 4.71808135201955e-18
phospho.S6 0.0393931657945221 1.03650842524158 0.0140074846730603 8.7768368122299e-22 0 0.0567138233117555
CD3 -0.0707619471628184 1.05319992596534 0.0268097335583716 2.86882141256142e-17 0 0.00252496667046504
Pan.Keratin 0.349834013726044 1.11874304697691 0.524111342347305 7.2004183057302e-173 0 1.06615452354122e-177
CD20 -0.29012698200728 0.877763644335939 0.267266664442802 6.55858288277609e-90 0 2.33305954540464e-180
