target,imp
B7H3,130.70089529574886
FoxP3,121.3029284895231
Lag3,120.80339340699497
CD4,221.99644232020503
CD16,145.7310502072289
CD56,128.94029113640414
OX40,214.61481937828177
PD1,296.9860010235575
CD31,585.4762658135649
PD.L1,1116.7670179586785
EGFR,140.7021323751158
Ki67,376.7981571320521
CD209,126.80146278505268
CD11c,899.6199893007433
CD138,176.68038992336253
CD163,516.0325213403481
CD68,178.94470810907515
CSF.1R,250.9619875354362
CD8,161.33660650381404
CD3,197.4750747529663
IDO,127.84496508398574
Keratin17,702.3752477946205
CD63,305.07714270166787
CD45RO,467.16886270669556
CD20,1246.144789097621
p53,173.56312342302786
Beta.catenin,406.7186447932435
CD11b,188.2808110604847
CD45,1128.2800452951822
H3K9ac,603.418001086541
Pan.Keratin,738.44026007927
H3K27me3,696.2576844060403
phospho.S6,217.03828074484755
MPO,126.63501571886431
Keratin6,801.0068428387281
HLA_Class_1,612.1412211312213
