target,imp
B7H3,34.537022609575374
FoxP3,38.5788198047766
Lag3,34.33817907636553
CD4,39.25903284698469
CD16,56.297834129559405
CD56,54.216076286860435
OX40,42.704229854127526
PD1,41.889547791824974
CD31,90.27510684820012
PD.L1,57.33973317139182
EGFR,51.26443865287924
Ki67,86.8241319570844
CD209,32.96596221475828
CD11c,51.26108348757186
CD138,87.78692634836035
CD163,72.86925080434574
CD68,64.7652299019933
CSF.1R,50.9179318704848
CD8,67.13702274343383
CD3,49.84840555652664
IDO,97.3004717756625
Keratin17,84.01243567784493
CD63,44.536270506169785
CD45RO,54.70800410071144
CD20,59.74527641624618
p53,42.163189094073935
Beta.catenin,159.26405010406415
HLA.DR,73.41743520182749
CD11b,36.633687270617216
CD45,62.90354353408783
H3K9ac,107.35522328545402
Pan.Keratin,74.08154976064169
phospho.S6,98.01781075768332
MPO,52.12178593648485
Keratin6,100.04104282965791
HLA_Class_1,95.32530422965279
