target,imp
Lag3,4.224560433790583
CD4,27.637816105777265
CD16,71.92269788457958
PD1,9.664892212480385
CD31,1.7395863828997442
PD.L1,21.551828766764352
EGFR,16.18721518401173
Ki67,1.3104666220503036
CD11c,26.076894098406346
CD138,35.318932734210605
CD68,47.135841702652506
CD8,21.386225274019694
CD3,17.44236769843407
IDO,8.476777773516101
Keratin17,277.90981752936835
CD63,15.80948507595971
CD45RO,63.129680222658855
p53,1.7081079382228617
Beta.catenin,15.220659114591081
HLA.DR,51.30875517481004
CD11b,66.49706388055017
CD45,72.31874073005292
H3K9ac,31.059072433779466
Pan.Keratin,23.98301758599561
H3K27me3,31.91840317406961
phospho.S6,30.44639595702306
MPO,1.749107988624633
Keratin6,20.881926522437585
HLA_Class_1,79.17722122620422
