target,imp
Lag3,0.4368595701340614
CD4,15.344012672315053
CD16,98.88094117133939
PD1,2.1179620971934217
CD31,1.40080719292706
PD.L1,17.654354954360784
EGFR,12.446944389116213
Ki67,1.6419055402735712
CD11c,90.00722990145324
CD138,17.66750097723465
CD68,82.5436918812332
CSF.1R,31.826675147291727
CD8,6.585322417597321
CD3,17.42691728919941
IDO,6.104650514824342
Keratin17,36.15698130336273
CD63,10.606037541268524
CD45RO,33.95087816358704
p53,2.2396619072398805
Beta.catenin,19.2859495153002
CD11b,221.9956664492077
CD45,45.36810613847105
H3K9ac,31.42359655238366
Pan.Keratin,16.4211390848766
H3K27me3,27.8826962216626
phospho.S6,31.913694424491737
MPO,2.897019038295194
Keratin6,13.492080697400946
HLA_Class_1,127.60724524028934
