target,imp
B7H3,1.2825338842500538
FoxP3,2.610714578290994
Lag3,1.588287367512047
CD4,1.5577275442028076
CD16,2.1869402728378673
CD56,1.3945992320401743
OX40,0.7942602314580722
PD1,2.304367378258584
CD31,1.2629667818019776
PD.L1,5.143497405029915
EGFR,6.531412454314967
Ki67,3.625161163819817
CD209,1.650757753499312
CD11c,6.283818011695738
CD138,1.890877725130199
CD163,1.577644552526943
CD68,3.167475499384151
CSF.1R,1.5873439340990465
CD8,2.638565328307958
CD3,2.0142361305599183
IDO,2.736851760636836
CD63,2.032094797638314
CD45RO,2.274365139181865
CD20,2.7781048711009246
p53,1.3940922909749955
Beta.catenin,1.7811133194207749
HLA.DR,3.405601050050177
CD11b,2.8999217963795014
CD45,1.9661596756412598
H3K9ac,3.479815892234821
Pan.Keratin,1.1948253672986981
H3K27me3,2.378293454404101
phospho.S6,2.0078444903643287
MPO,2.243924303622649
Keratin6,6.843753179846236
HLA_Class_1,2.394577368254875
