target,imp
B7H3,90.11639375299632
FoxP3,122.81198369898739
CD4,84.56874205832645
CD16,139.2981089073614
CD56,118.57308955269139
OX40,113.2309501529497
PD1,136.55110725257882
CD31,191.45552308059368
PD.L1,110.41398235960187
EGFR,102.05535787373505
Ki67,134.76941458141383
CD209,145.78173223969088
CD11c,135.00427602425157
CD138,122.59743652921388
CD163,107.64241558037384
CD68,99.34558625932927
CSF.1R,80.22527172577692
CD8,147.4776420428745
CD3,98.58729977861213
IDO,73.8409729188881
Keratin17,134.89533473745934
CD63,140.8892952180001
CD45RO,140.54786970553053
CD20,153.37810671155736
p53,78.31555048367572
Beta.catenin,142.87459205083752
HLA.DR,117.3222307829407
CD11b,106.77124716262477
CD45,105.82906921840555
H3K9ac,125.87194339932246
Pan.Keratin,99.76234319893666
H3K27me3,132.433697459381
phospho.S6,160.7254500517761
MPO,130.98182813652215
Keratin6,124.40840019445812
HLA_Class_1,169.2478029140922
