target,imp
B7H3,106.68817705200983
FoxP3,122.0829429023868
Lag3,126.11556759957851
CD4,118.17041590384869
CD16,150.57779097234163
CD56,113.37498405290933
OX40,98.53690264490706
PD1,133.43225316352783
CD31,150.1893905088618
PD.L1,169.46045234641008
EGFR,107.6411268964938
Ki67,146.43964667708812
CD209,111.81932614084104
CD11c,220.70690559289002
CD138,150.8561631195754
CD163,130.7058461123919
CD68,146.89174680333122
CSF.1R,138.77323057378186
CD8,143.87373714009982
CD3,131.1905191224328
IDO,101.0416458717838
Keratin17,164.89335915189233
CD63,169.46386077790882
CD45RO,136.52380262995683
CD20,133.35548337891524
p53,124.52910651384303
Beta.catenin,179.50820858013816
HLA.DR,161.4148049569219
CD11b,169.83840916790382
CD45,183.6841074141825
H3K9ac,242.23871638453636
Pan.Keratin,188.65991565031345
H3K27me3,228.57495341250993
phospho.S6,197.05383349418742
Keratin6,145.69214832566863
HLA_Class_1,181.1867760748542
