target,imp
B7H3,46.7015256695539
FoxP3,48.30489452963126
Lag3,192.49098609098536
CD4,100.41366917156033
CD16,149.2767873809688
CD56,83.98074366085444
OX40,48.2310668987542
PD1,156.45888275043865
CD31,99.85673599516642
PD.L1,111.53648275271408
EGFR,43.16765707626135
Ki67,103.10440307532264
CD209,46.10379641892876
CD138,122.27292262290543
CD163,76.90331960761057
CD68,99.51430315737211
CSF.1R,73.66002111698722
CD8,92.52943046875176
CD3,100.12571488503767
IDO,73.28222915714568
Keratin17,207.72797182770043
CD63,85.43508295638706
CD45RO,111.2497050846198
CD20,70.22473818664167
p53,48.90737632566563
Beta.catenin,211.00487145231403
HLA.DR,119.19307818551502
CD11b,48.975202941044614
CD45,119.49432131457468
H3K9ac,93.13057215461917
Pan.Keratin,153.60274788924008
H3K27me3,125.97845849528044
phospho.S6,162.2935082329238
MPO,112.8029946798386
Keratin6,163.49972061794838
HLA_Class_1,271.3477911353382
