target,imp
B7H3,250.5646445543016
FoxP3,314.2834686934175
Lag3,341.5194127911553
CD4,287.5693522234015
CD16,390.816924784622
CD56,346.90036208336016
OX40,263.6085143594936
PD1,368.7302002056096
CD31,332.2244329187306
PD.L1,315.1600217526462
EGFR,437.5322557223924
Ki67,587.0267799129857
CD209,417.4784445010066
CD11c,398.9461759753095
CD138,393.9884658711554
CD163,237.97702463070306
CD68,285.7458800603073
CSF.1R,707.7124028320646
CD8,290.9625447833389
CD3,259.06817176576646
IDO,484.3724267610341
Keratin17,466.9094262168576
CD63,582.5556561056353
CD45RO,365.61119999903264
CD20,322.33687073633763
p53,312.15566232377716
Beta.catenin,551.114003405022
HLA.DR,603.2978955144473
CD45,322.2010091378538
H3K9ac,1057.5092502668201
Pan.Keratin,623.3924925787942
H3K27me3,609.6755361483794
phospho.S6,663.4299067904913
MPO,329.9314999539401
Keratin6,549.5135510339178
HLA_Class_1,573.491905280367
