target,imp
FoxP3,6.0087527597249455
Lag3,127.15521041794435
CD4,414.3435072706538
CD16,148.7383683407816
CD56,9.274634310745743
OX40,2.31396773709167
CD31,43.820057202406076
PD.L1,423.2711320033172
EGFR,25.562266007533157
Ki67,49.84918415655424
CD209,131.1644735320778
CD11c,136.49900824999156
CD138,51.346277058478826
CD68,139.72301407306418
CSF.1R,198.92508014970892
CD8,205.83335126339426
CD3,405.4492827708931
IDO,67.15715117607756
Keratin17,11.428294308450832
CD63,98.13893282876546
CD45RO,476.6951482614284
CD20,65.15186196040406
p53,2.5562575503959803
Beta.catenin,143.53274597075165
HLA.DR,172.4022712560726
CD11b,118.52533022231273
CD45,398.7077143009685
H3K9ac,160.2086776751773
Pan.Keratin,74.79262724188912
H3K27me3,139.2019751196327
phospho.S6,169.39290660168123
MPO,20.84823889062916
Keratin6,119.29339964163208
HLA_Class_1,341.3328312782487
