target intercept intra para.50 p.intercept p.intra p.para.50
Class_B 0 0.38792863164724 0.545895739828595 1 5.75077091947487e-08 1.5052649539986e-64
Class_CD3.T 0 0.641756485499681 0.322539349356032 1 1.12295822871327e-25 1.95907928842384e-19
Class_CD4.T 0 0.211878888446241 0.72745699441787 1 0.000136427839027736 1.26686574769026e-188
Class_CD8.T 0 0.185371951967376 0.760447387842445 1 1.56752746943941e-06 4.50088417354384e-184
Class_DC.Mono 0 0.521906222683183 0.433931316482778 1 2.17208030117055e-14 9.46489075102296e-33
Class_Endothelial 0 0.478786174824931 0.468577374171857 1 2.46944546712486e-07 3.45330702236326e-41
Class_Mesenchymal 0 0.262339635428481 0.660367928172513 1 0.000389095708006524 1.45955268386184e-110
Class_Macrophages 0 0.258836003611207 0.696973437615231 1 1.08881940711086e-09 9.92004670972654e-118
Class_Tumor 0 -0.0453138623087919 1.03689950834374 1 0.0119146875661074 0
Class_Other.immune 0 0.197698509952528 0.774289703856073 1 3.20902960987517e-09 1.1998842788131e-212
