target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
Class_CD4.T 0.212394263011575 0 0.201297685560548 9.7854352725892 0.171266263308536 7.50060844377157e-06
Class_B 0.370573824390664 0 0.30560560617955 31.7047376154869 6.63884335176245e-08 2.93271603256273e-09
Class_CD8.T 0.236286419305294 0 0.217618834574721 15.088749978946 0.0273991547310567 3.0306101108602e-06
Class_DC 0.375995361153419 0 0.263163470096485 50.7238029155855 1.38869517807514e-11 1.96422268831133e-10
Class_DC.Mono 0.15038591545158 0 0.146222304913612 5.35453085465362 0.28906241867964 0.000797905702134127
Class_Endothelial 0.256844294349052 0 0.241359595138596 11.4812251002765 0.00795338436881019 5.98396925750016e-05
Class_Macrophages 0.159008411843737 0 0.15692636392376 2.22955101243895 0.418498734032907 0.0166796659487767
Class_Other.immune 0.233278869289476 0 0.225786826039731 6.01283403511673 0.165960260643445 0.00010902030227915
Class_Mesenchymal 0.330630847705961 0 0.305538420264155 14.4584163055023 2.52304509302307e-06 5.36731351655857e-07
Class_Tumor 0.415807357128066 0 0.263367731868609 59.5765097466462 8.89559465129678e-11 2.70198728695995e-10
